text,cleaned_text,Predicted_Label,Predicted_Subclass
"छान समजावून सांगितले पाटील, ऋषितुल्य बाबासाहेबांवर शिंतोडे उडविणारे हे हिंदुत्वाचा बुरखा पांघरून असलेले वराहच म्हणावे ",छान समजावून सांगितले पाटील ऋषितुल्य बाबासाहेबांवर शिंतोडे उडविणारे हे हिंदुत्वाचा बुरखा पांघरून असलेले वराहच म्हणावे,1,1.0
तुमच्या कडून काहीही अपेक्षित नाही. ,तुमच्या कडून काहीही अपेक्षित नाही,1,1.0
तुमचं काहीही अस्तित्व नाही. ,तुमचं काहीही अस्तित्व नाही,1,1.0
संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे. ,संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे,0,0.0
"आपल्याला जेवढे प्रेम मिळेल, तेवढेच प्रेम परत द्यायला हवे. ",आपल्याला जेवढे प्रेम मिळेल तेवढेच प्रेम परत द्यायला हवे,0,0.0
संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे. ,संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे,0,0.0
हे सरकारच नाही मर्दाची अवलाद आहे ,हे सरकारच नाही मर्दाची अवलाद आहे,1,1.0
"भाऊच नाही ओ, पाकिस्तान माविआ चा बाप पण आहे... ",भाऊच नाही ओ पाकिस्तान माविआ चा बाप पण आहे,1,1.0
नीच च्या पण खालच्या पातळीच आहे ते डुक्कर 😡 ,नीच च्या पण खालच्या पातळीच आहे ते डुक्कर,1,1.0
प्रत्येकाने आपल्या कार्यात तात्काळता ठेवली पाहिजे. ,प्रत्येकाने आपल्या कार्यात तात्काळता ठेवली पाहिजे,0,0.0
हे भक्त लोक तुम्हाला बाजारु विचारवंत अस का बोलत असतात हो ? फेसबुक वर सगळीकडे तेच दिसतंय म्हणून विचारलं आपल😬 ,हे भक्त लोक तुम्हाला बाजारु विचारवंत अस का बोलत असतात हो फेसबुक वर सगळीकडे तेच दिसतंय म्हणून विचारलं आपल,1,1.0
सकारात्मकतेने भरलेले विचार आणि क्रिया आपल्या जीवनात चांगले परिणाम आणतात. ,सकारात्मकतेने भरलेले विचार आणि क्रिया आपल्या जीवनात चांगले परिणाम आणतात,0,0.0
रे चुतीया केंद्र सरकार म्हणतंय देशात एकही मृत्यू ऑक्सिजन अभावी नाही. ,रे चुतीया केंद्र सरकार म्हणतंय देशात एकही मृत्यू ऑक्सिजन अभावी नाही,1,1.0
लोकप्रतिनिधींचे चाळे पाहतो तेव्हा मला माझ्या कुत्र्यांची आठवण येते…” कोण म्हणतं आहे बघा.तीन घरच लाचार कुत्रा ,लोकप्रतिनिधींचे चाळे पाहतो तेव्हा मला माझ्या कुत्र्यांची आठवण येते कोण म्हणतं आहे बघातीन घरच लाचार कुत्रा,1,1.0
"यश प्राप्त करण्यासाठी आपल्याला विश्वास, मेहनत, आणि समर्पण या तीन गोष्टींची आवश्यकता आहे, आणि हेच आपले मार्गदर्शक आहेत. ",यश प्राप्त करण्यासाठी आपल्याला विश्वास मेहनत आणि समर्पण या तीन गोष्टींची आवश्यकता आहे आणि हेच आपले मार्गदर्शक आहेत,0,0.0
"विचारशील संवाद साधल्यास आपण एकमेकांमध्ये गाढ नातेसंबंध निर्माण करू शकतो, ज्यामुळे समाज अधिक एकजूट होतो. ",विचारशील संवाद साधल्यास आपण एकमेकांमध्ये गाढ नातेसंबंध निर्माण करू शकतो ज्यामुळे समाज अधिक एकजूट होतो,0,0.0
चांगल्या विचारांची बोंड वाढवून आपण आपले जीवन अधिक आनंददायी बनवू शकतो. ,चांगल्या विचारांची बोंड वाढवून आपण आपले जीवन अधिक आनंददायी बनवू शकतो,0,0.0
गुजराती बापाची मराठी औलाद आपल्या हीजड्या बापाचे पाप झाकण्याचे काम इमानदारीने करत आहेत भाजपी पिलावळ... ,गुजराती बापाची मराठी औलाद आपल्या हीजड्या बापाचे पाप झाकण्याचे काम इमानदारीने करत आहेत भाजपी पिलावळ,1,1.0
एकमेकांच्या सहकार्यामुळे आपण यशस्वी होऊ शकतो. ,एकमेकांच्या सहकार्यामुळे आपण यशस्वी होऊ शकतो,0,0.0
