text,cleaned_text,Predicted_Label,Predicted_Subclass
"छान समजावून सांगितले पाटील, ऋषितुल्य बाबासाहेबांवर शिंतोडे उडविणारे हे हिंदुत्वाचा बुरखा पांघरून असलेले वराहच म्हणावे ",छान समजावून सांगितले पाटील ऋषितुल्य बाबासाहेबांवर शिंतोडे उडविणारे हे हिंदुत्वाचा बुरखा पांघरून असलेले वराहच म्हणावे,1,1.0
 ,,1,1.0
तुमच्या कडून काहीही अपेक्षित नाही. ,तुमच्या कडून काहीही अपेक्षित नाही,1,1.0
 ,,1,1.0
तुमचं काहीही अस्तित्व नाही. ,तुमचं काहीही अस्तित्व नाही,1,1.0
 ,,1,1.0
संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे. ,संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे,0,0.0
 ,,1,1.0
"आपल्याला जेवढे प्रेम मिळेल, तेवढेच प्रेम परत द्यायला हवे. ",आपल्याला जेवढे प्रेम मिळेल तेवढेच प्रेम परत द्यायला हवे,0,0.0
 ,,1,1.0
हे सरकारच नाही मर्दाची अवलाद आहे ,हे सरकारच नाही मर्दाची अवलाद आहे,1,1.0
 ,,1,1.0
"भाऊच नाही ओ, पाकिस्तान माविआ चा बाप पण आहे... ",भाऊच नाही ओ पाकिस्तान माविआ चा बाप पण आहे,1,1.0
 ,,1,1.0
नीच च्या पण खालच्या पातळीच आहे ते डुक्कर 😡 ,नीच च्या पण खालच्या पातळीच आहे ते डुक्कर,1,1.0
 ,,1,1.0
हे भक्त लोक तुम्हाला बाजारु विचारवंत अस का बोलत असतात हो ? फेसबुक वर सगळीकडे तेच दिसतंय म्हणून विचारलं आपल😬 ,हे भक्त लोक तुम्हाला बाजारु विचारवंत अस का बोलत असतात हो फेसबुक वर सगळीकडे तेच दिसतंय म्हणून विचारलं आपल,1,1.0
 ,,1,1.0
सकारात्मकतेने भरलेले विचार आणि क्रिया आपल्या जीवनात चांगले परिणाम आणतात. ,सकारात्मकतेने भरलेले विचार आणि क्रिया आपल्या जीवनात चांगले परिणाम आणतात,0,0.0
