Text,Label,Subclass
तुमचं बोलणं हास्यास्पद आहे.,1,1
तुम्ही एकदम लहान बुद्धीचे आहात.,1,1
तुम्ही फक्त दुसऱ्या लोकांना त्रास देण्यासाठी आलात.,1,2
तुमच्या अस्तित्वामुळे समाजाला नुकसान होत आहे.,1,2
तुम्ही मला काहीही सांगू शकत नाही.,1,3
तुमच्या कडून काहीही अपेक्षित नाही.,1,3
तुम्हाला काहीही कामाचं समजत नाही.,1,4
"महिलांची खरी जागा घरात आहे, बाहेर नाही.",1,4
तुमचं काहीही अस्तित्व नाही.,1,5
तुम्ही कुणालाही आपल्या धर्माबद्दल आदर देऊ शकत नाही.,1,6
तुमचं प्रेम म्हणजे समाजासाठी एक कलंक आहे.,1,7
परकियांना आपल्या देशात येऊ द्यायचं नाही.,1,8
अपंग लोकांनी आपला आवाज उचलू नये.,1,9
गरीब लोकांवर कोणतीही दया नाही.,1,10
तुम्ही खरंच किती बेकार आहात.,1,1
"तुमचं विचार असं असावं, ते चुकीचं आहे.",1,2
तुमच्या सारख्या लोकांनी फक्त अपमान करण्यासाठी जगले.,1,3
तुमचं वर्तन फक्त अकारण आहे.,1,4
"तुमचं जात आहे, म्हणून तुम्हाला तुच्छ मानलं जातं.",1,5
तुमच्या धर्माच्या नावाखाली हिंसा करणं योग्य नाही.,1,6
"तुम्हाला समजत नाही का, तुमचं प्रेम विकृत आहे.",1,7
तुमचं वागणं देशद्रोही आहे.,1,8
अपंग लोकांनी आत्मनिर्भर होणं शक्य नाही.,1,9
तुमचं श्रमिक म्हणून किमान मान नाही.,1,10
"तुम्ही विचार करणे थांबवले, नंतर फक्त बोलले.",1,1
तुमचं अस्तित्व धिक्कारायोग्य आहे.,1,1
तुमचं विचारं फक्त गहाळ आहे.,1,2
तुमच्या वागणुकीचा खूप दुष्परिणाम होतो.,1,3
तुमचं काहीही विचार नसताना बोलणे हास्यास्पद आहे.,1,4
तुम्ही समाजाच्या मातीवर थुंकणारे आहात.,1,5
तुमच्या धर्माबद्दल बोलणे हे हसण्यासारखं आहे.,1,6
तुमचं प्रेम म्हणजे एक विकृती आहे.,1,7
बाहेरच्या लोकांना आपल्या देशात मान्यता देणं चुकीचं आहे.,1,8
अपंग लोकांवर तुम्ही निःसंकोच होऊन बोलत नाहीत.,1,9
गरीब लोकांना समजून घेणं अशक्य आहे.,1,10
तुमचं काहीही ज्ञान नाही.,1,1
तुमच्या विचारांनी समाजाचे नुकसान होईल.,1,1
तुमचं वर्तन हे पूर्णपणे अपमानजनक आहे.,1,2
तुमच्यासारख्या लोकांमुळेच समस्या निर्माण होतात.,1,3
तुम्हाला अजिबात योग्य असं वागायला येत नाही.,1,4
तुमच्या जातीने तुम्हाला द्वेष दिला आहे.,1,5
तुमचं धर्म सगळं काहीत शून्य आहे.,1,6
तुमचं प्रेम काहीच मानलं जात नाही.,1,7
तुमचं वागणं देशभक्तीच्या विरोधात आहे.,1,8
अपंग लोकांच्या आवाजाला कोणतीही किंमत नाही.,1,9
गरीब लोकांना चांगलं जगायचं हक्क नाही.,1,10
तुम्ही कमी वयाचे आहात आणि उगाच बोलत आहात.,1,1
तुमचं वर्तन अजूनही चुकत आहे.,1,1
"तुम्हाला माहिती आहे का, तुमचं अस्तित्व समाजासाठी बंधनकारक आहे.",1,2
तुमचं बोलणं सर्वांत मूर्ख आहे.,1,2
तुमचं अस्तित्व म्हणजे एक कलंक आहे.,1,3
तुमचं वागणं सर्वांत हास्यास्पद आहे.,1,4
तुमचं जात हरणकारक आहे.,1,5
तुमच्या धर्मावर काहीही विश्वास ठेवला जात नाही.,1,6
तुमचं प्रेम म्हणजे संपूर्ण समाजाच्या विरोधात आहे.,1,7
तुमच्या देशात बाहेरच्या लोकांनी काय केलं आहे?,1,8
अपंग लोकांनी जीवनावरून जाईल म्हणून विचार कसा करावा?,1,9
गरीब लोकांना जगण्याचं हक्क नाही.,1,10
"तुम्हाला समजत नाही का, तुमचं बोलणं हास्यास्पद आहे.",1,1
तुमचं अस्तित्व सगळं काही कमी करणारं आहे.,1,1
तुम्ही अजिबात शुद्ध आहात असं मानलं जात नाही.,1,2
तुमचं वर्तन नेहमीच अपमानजनक आहे.,1,3
तुम्ही सामान्य लोकांमध्ये गंडलेले आहात.,1,4
"तुम्ही जन्माला येणं हवं होतं की नाही, हे प्रश्न असतं.",1,5
तुमचं धर्माने काहीच अर्थ नाही.,1,6
तुम्हाला कोणतीही निंदा करायची परवानगी नाही.,1,7
बाहेरच्या लोकांनी आपल्या देशावर नियंत्रण ठेवावं.,1,8
अपंग लोकांच्या विचारांना मान्यता देणं कठीण आहे.,1,9
गरीब लोकांना काहीही मिळवायचं नाही.,1,10
"""@BhatkhalkarA तुझी लायकी काय तू बोलतो कोणा बदल काय लाज लज्जा आहे की नाही""",1,1
"""हिंदू धर्माबद्दल अपशब्द उगारणारा मोकाट आन उस्मानी मामू ला त्याची औकात दाखवणाऱ्या ला अटक.""",1,6
"""@abpmajhatv खांडक्या, विघानसभेत अजितदादा काय बोलले तेवढच दाखवतो भाडखाउ""",1,3
